t, aX, aY, aZ, gX, gY, gZ
0.0000, 0.10, 0.04, 1.01, 1.46, -0.30, 0.49
0.0033, 0.11, 0.03, 1.02, 1.46, -0.30, 0.37
0.0067, 0.11, 0.04, 1.01, 1.40, -0.12, 0.30
0.0100, 0.11, 0.03, 1.01, 1.34, -0.24, 0.30
0.0133, 0.11, 0.03, 1.02, 1.34, -0.18, 0.43
0.0167, 0.10, 0.04, 1.01, 1.34, -0.37, 0.43
0.0200, 0.10, 0.05, 1.02, 1.46, -0.30, 0.30
0.0233, 0.10, 0.04, 1.01, 1.46, -0.12, 0.30
0.0267, 0.11, 0.04, 1.01, 1.40, -0.30, 0.18
0.0300, 0.11, 0.04, 1.03, 1.40, -0.30, 0.30
0.0333, 0.10, 0.04, 1.02, 1.52, -0.24, 0.24
0.0367, 0.11, 0.04, 1.02, 1.52, -0.24, 0.24
0.0400, 0.10, 0.03, 1.02, 1.46, -0.24, 0.37
0.0433, 0.10, 0.04, 1.01, 1.52, -0.24, 0.30
0.0467, 0.10, 0.04, 1.01, 1.34, -0.30, 0.37
0.0500, 0.11, 0.03, 1.02, 1.52, -0.24, 0.30
0.0533, 0.11, 0.04, 1.01, 1.52, -0.24, 0.30
0.0567, 0.10, 0.04, 1.01, 1.46, -0.18, 0.30
0.0600, 0.10, 0.04, 1.02, 1.46, -0.30, 0.37
0.0633, 0.11, 0.04, 1.02, 1.40, -0.37, 0.24
0.0667, 0.10, 0.04, 1.02, 1.59, -0.24, 0.30
0.0700, 0.11, 0.04, 1.02, 1.52, -0.37, 0.37
0.0733, 0.10, 0.03, 1.02, 1.52, -0.30, 0.37
0.0767, 0.10, 0.04, 1.02, 1.52, -0.18, 0.30
0.0800, 0.10, 0.03, 1.02, 1.59, -0.24, 0.43
0.0833, 0.10, 0.03, 1.01, 1.59, -0.30, 0.30
0.0867, 0.11, 0.04, 1.02, 1.52, -0.18, 0.37
0.0900, 0.11, 0.04, 1.02, 1.40, -0.24, 0.37
0.0933, 0.11, 0.04, 1.01, 1.46, -0.12, 0.30
0.0967, 0.11, 0.04, 1.02, 1.59, -0.24, 0.30
0.0000, 0.11, 0.04, 1.02, 1.52, -0.18, 0.37
0.0033, 0.10, 0.04, 1.01, 1.46, -0.24, 0.24
0.0067, 0.10, 0.04, 1.02, 1.46, -0.18, 0.30
0.0100, 0.10, 0.03, 1.01, 1.52, -0.30, 0.30
0.0133, 0.10, 0.04, 1.01, 1.65, -0.30, 0.37
0.0167, 0.11, 0.05, 1.01, 1.59, -0.12, 0.24
0.0200, 0.10, 0.05, 1.02, 1.46, -0.12, 0.12
0.0233, 0.10, 0.04, 1.01, 1.65, -0.24, 0.24
0.0267, 0.11, 0.04, 1.02, 1.59, -0.18, 0.24
0.0300, 0.10, 0.04, 1.01, 1.52, -0.18, 0.37
0.0333, 0.11, 0.05, 1.02, 1.46, -0.37, 0.37
